,severity_proba
881,0.023890866
883,0.0092163775
884,0.011964485
886,0.0100501245
887,0.004329263
888,0.012189229
889,0.0024076744
890,0.0014156334
894,0.007826157
897,0.0009172178
898,0.0029695062
900,0.10113278
901,0.0040387088
903,0.005409488
906,0.04419872
908,0.013067784
909,0.004259719
910,0.0039578183
911,0.0010339466
912,0.004475685
913,0.025756909
915,0.0017991429
916,0.015235008
917,0.338739
918,0.030579364
920,0.53782487
921,0.6108633
923,0.0026305993
924,0.42168263
926,0.4048087
927,0.0022566637
928,0.0025942668
929,0.0023225867
930,0.0016214658
931,0.00087503693
932,0.028215066
933,0.001843184
935,0.0014571027
936,0.0021544523
937,0.0015449838
938,0.0033270498
939,0.0026305893
941,0.010008292
942,0.0023180807
943,0.0030039933
944,0.002358672
945,0.0014961055
946,0.0011837437
947,0.0015802515
948,0.00062377163
949,0.25160623
950,0.00087050674
951,0.0039870846
952,0.0033070226
953,0.0033216225
954,0.0010727451
955,0.0013596306
956,0.034341965
957,0.0016658565
958,0.0012255319
959,0.005501956
960,0.025269743
961,0.017056793
962,0.0022824232
963,0.0019946622
965,0.0007136559
966,0.0056100176
968,0.002510982
969,0.002329975
970,0.0011902943
971,0.0028396754
973,0.002696225
974,0.0051060566
975,0.0019023384
976,0.0016057433
980,0.0017829677
981,0.0014021172
982,0.005045462
983,0.0014813225
984,0.000844865
985,0.0006129293
986,0.0021210902
987,0.0014708325
988,0.0007094436
989,0.0065542166
990,0.019096565
991,0.0048802136
992,0.01771844
995,0.0015297653
996,0.007387739
997,0.001986841
998,0.0015288506
999,0.6165537
1000,0.0018990799
1001,0.00095685857
1003,0.0029756962
1006,0.004040712
1009,0.0011827276
1010,0.001330709
1011,0.00442385
1012,0.18463106
1013,0.36946505
1014,0.59875095
1016,0.008116681
1017,0.0007366433
1019,0.025935594
1021,0.0032466133
1022,0.0035615966
1023,0.37968364
1024,0.10088171
1025,0.013721151
1026,0.014615602
1027,0.012143074
1028,0.3517319
1029,0.039160997
1030,0.024439503
1032,0.11251056
1034,0.0022772786
1035,0.0066761435
1036,0.16175617
1037,0.015062212
1038,0.0049562026
1039,0.0024931096
1040,0.08877118
1041,0.15989208
1042,0.019542849
1043,0.009274926
1044,0.24189527
1045,0.34894586
1046,0.0015647025
1047,0.061889444
1050,0.5458367
1051,0.49206457
1052,0.0054419693
1053,0.011268927
1054,0.0014376383
1056,0.019283336
1057,0.029654095
1058,0.13073844
1061,0.0022954752
1062,0.035319235
1063,0.0140460115
1064,0.002068415
1065,0.004841273
1066,0.0024788445
1067,0.0013577479
1068,0.0021609652
1069,0.006360873
1070,0.015621754
1071,0.05087472
1072,0.031076707
1073,0.0030396366
1074,0.015999805
1075,0.008890338
1076,0.0035680041
1077,0.007837785
1078,0.032619435
1079,0.0010568192
1080,0.40388012
1081,0.02513382
1082,0.072887756
1083,0.009080927
1084,0.088413455
1085,0.020091021
1086,0.009273177
1087,0.111014865
1088,0.0063242307
1090,0.019426124
1091,0.7031187
1092,0.37142822
1093,0.004705737
1094,0.08563616
1095,0.002546121
1096,0.0020764957
1097,0.007785445
1098,0.034448016
1099,0.013596372
1100,0.0046573533
1101,0.23656581
1102,0.10183279
1103,0.12071386
1104,0.00095058733
1105,0.0054493574
1106,0.001290748
1107,0.0027071945
1108,0.0027388856
1109,0.43339208
1110,0.07425374
1111,0.0022451817
1112,0.0065140915
1113,0.8175889
1114,0.016429849
1115,0.0020912841
1116,0.01035282
1117,0.0009411192
1118,0.0050117867
1119,0.0027090902
1120,0.003562504
1121,0.002906565
1122,0.00642095
1123,0.0070026414
1124,0.0035501246
1125,0.0018155256
1126,0.045168143
1129,0.001938003
1130,0.1251172
1131,0.2905995
1132,0.0044665183
1134,0.53362125
1136,0.12454545
1137,0.6294117
1138,0.56779087
1139,0.46435618
1140,0.34489074
1141,0.7128562
1142,0.8050498
1143,0.031506274
1144,0.15058717
1146,0.2607535
1147,0.017642222
1148,0.0935149
1149,0.008361233
1150,0.007550603
1152,0.36555672
1153,0.01068518
1154,0.265797
1155,0.028499532
1156,0.03355302
1157,0.5905522
1158,0.00936906
1159,0.008775118
1160,0.63401914
1161,0.017339913
1162,0.17263563
1163,0.56219673
1165,0.06274741
1166,0.003740218
1167,0.15609105
1168,0.00661034
1170,0.025838299
1171,0.049203347
1172,0.03999175
1173,0.003908065
1174,0.052162763
1175,0.35027307
1176,0.0024472184
1177,0.0057593617
1178,0.024990922
1179,0.005877248
1180,0.009979075
1181,0.005094162
1182,0.021957623
1183,0.6003688
1184,0.0018614368
1186,0.5095068
1187,0.27450702
1188,0.003216622
1189,0.0060148262
1190,0.022505224
1191,0.01838767
1192,0.0040388834
1193,0.002253915
1194,0.0098269
1195,0.018386932
1196,0.0034783874
1197,0.011484713
1198,0.0028769705
1199,0.048675127
1200,0.11265912
1201,0.3176501
1202,0.14884351
1203,0.20025548
1204,0.021122608
1205,0.24693017
1206,0.007551149
1207,0.0056158304
1208,0.018240461
1209,0.082161434
1210,0.0070438795
1211,0.084233485
1212,0.2937534
1213,0.23099646
1215,0.36969724
1216,0.41139972
1217,0.14302327
1218,0.4280295
1219,0.31583923
1220,0.051104687
1222,0.606953
1223,0.13514835
1224,0.0070357337
1225,0.13340051
1226,0.31343725
1227,0.0054631075
1228,0.033973422
1229,0.3406508
1230,0.009489253
1231,0.011950975
1232,0.013944835
1233,0.66573256
1234,0.05332114
1235,0.008049989
1236,0.043157313
1237,0.02208387
1238,0.015818644
1239,0.0551852
1240,0.017033553
1241,0.010175261
1242,0.34342757
1243,0.014541879
1244,0.0045160674
1245,0.08348464
1246,0.00902723
1248,0.19835712
1249,0.1144079
1250,0.35360938
1251,0.35826373
1252,0.8132747
1254,0.02372173
1255,0.3214533
1257,0.017500818
1258,0.0019646906
1259,0.1455598
1260,0.4638923
1261,0.26606724
1263,0.09671889
1264,0.011051675
1265,0.0039963513
1266,0.6995151
1267,0.6055609
1268,0.25797826
1269,0.13537809
1270,0.010824768
1271,0.00929812
1273,0.003016178
1274,0.006510247
1275,0.0058400277
1277,0.034328446
1278,0.11657983
1281,0.32930565
1283,0.014991762
1284,0.46572965
1285,0.21152745
1286,0.0803506
1287,0.63528675
1288,0.10341915
1289,0.64456373
1290,0.67948043
1291,0.7154445
1292,0.052091517
1293,0.021949556
1294,0.44122374
1297,0.027891975
1298,0.497493
1299,0.78922784
1300,0.011067906
1302,0.16676195
1303,0.0147078
1304,0.12869957
1306,0.051682755
1307,0.015449904
1308,0.0653264
1309,0.00794143
1310,0.4774009
1311,0.0019288614
1312,0.0025670219
1313,0.39886755
1314,0.20708443
1315,0.011988286
1316,0.62424576
1317,0.041880745
1318,0.007068757
1319,0.50792223
